time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837174.29977298,0.01629192,0.01223767,-nan,3390.00000000,0.01629192,0.000000,0.000000
1577837174.39960504,0.01507238,0.01139504,-nan,6420.00000000,0.01385285,0.000000,0.000000
1577837174.49944592,0.01323187,0.00794179,-nan,5860.00000000,0.00955083,0.000000,0.000000
1577837174.59929180,0.01247830,0.00801216,-nan,5923.00000000,0.01021759,0.000000,0.000000
1577837174.69993496,0.01259202,0.01071135,-nan,6517.00000000,0.01304691,0.000000,0.000000
1577837174.79978299,0.01185214,0.00663905,-nan,6810.00000000,0.00815272,0.000000,0.000000
1577837174.89962602,0.01118516,0.00565220,-nan,7118.00000000,0.00718331,0.000000,0.000000
1577837174.99945593,0.01100696,0.00739967,-nan,7395.00000000,0.00975956,0.000000,0.000000
1577837175.09929895,0.01058879,0.00573297,-nan,7558.00000000,0.00724348,0.000000,0.000000
1577837175.19992089,0.01030860,0.00589224,-nan,7769.00000000,0.00778683,0.000000,0.000000
1577837175.29975915,0.01013386,0.00698155,-nan,7906.00000000,0.00838649,0.000000,0.000000
1577837175.39960504,0.00978381,0.00422920,-nan,7921.00000000,0.00593323,0.000000,0.000000
1577837175.49945283,0.00950152,0.00429187,-nan,8149.00000000,0.00611407,0.000000,0.000000
1577837175.59929395,0.00924770,0.00449124,-nan,8336.00000000,0.00594803,0.000000,0.000000
1577837175.69994402,0.00913647,0.00585533,-nan,8424.00000000,0.00757923,0.000000,0.000000
1577837175.79979110,0.00920662,0.00678241,-nan,8675.00000000,0.01025891,0.000000,0.000000
1577837175.89962792,0.00896479,0.00362397,-nan,8767.00000000,0.00509551,0.000000,0.000000
1577837175.99946690,0.00897010,0.00704108,-nan,8913.00000000,0.00906044,0.000000,0.000000
1577837176.09931278,0.00878952,0.00412339,-nan,8651.00000000,0.00553899,0.000000,0.000000
1577837176.19993806,0.00864852,0.00455608,-nan,8851.00000000,0.00596952,0.000000,0.000000
1577837176.29977918,0.00849558,0.00377289,-nan,9009.00000000,0.00543672,0.000000,0.000000
1577837176.39960599,0.00837463,0.00435440,-nan,9142.00000000,0.00583472,0.000000,0.000000
1577837176.49945998,0.00826450,0.00442484,-nan,9108.00000000,0.00584167,0.000000,0.000000
1577837176.59929085,0.00833645,0.00785425,-nan,9167.00000000,0.00999119,0.000000,0.000000
1577837176.69992089,0.00841314,0.00668429,-nan,9324.00000000,0.01025382,0.000000,0.000000
1577837176.79975700,0.00837620,0.00571574,-nan,9338.00000000,0.00745261,0.000000,0.000000
1577837176.89958906,0.00840109,0.00636100,-nan,9310.00000000,0.00904820,0.000000,0.000000
1577837176.99943709,0.00829667,0.00400465,-nan,9409.00000000,0.00547749,0.000000,0.000000
1577837177.09967589,0.00818163,0.00357362,-nan,9427.00000000,0.00496042,0.000000,0.000000
1577837177.19952583,0.00814115,0.00467620,-nan,9512.00000000,0.00696725,0.000000,0.000000
1577837177.29936004,0.00811588,0.00501830,-nan,9638.00000000,0.00735792,0.000000,0.000000
1577837177.39960194,0.00817474,0.00759484,-nan,9694.00000000,0.00999917,0.000000,0.000000
1577837177.49944592,0.00816371,0.00518732,-nan,9803.00000000,0.00781082,0.000000,0.000000
1577837177.59929180,0.00813476,0.00380672,-nan,9854.00000000,0.00717941,0.000000,0.000000
1577837177.69992900,0.00811864,0.00572254,-nan,9832.00000000,0.00757059,0.000000,0.000000
1577837177.79976606,0.00809348,0.00573621,-nan,9844.00000000,0.00721290,0.000000,0.000000
1577837177.89959717,0.00806490,0.00554956,-nan,9855.00000000,0.00703606,0.000000,0.000000
1577837177.99944401,0.00809446,0.00687144,-nan,9857.00000000,0.00918817,0.000000,0.000000
1577837178.09967303,0.00861451,0.01128161,-nan,9825.00000000,0.02837648,0.000000,0.000000
1577837178.19950795,0.00868791,0.00804718,-nan,9939.00000000,0.01155055,0.000000,0.000000
